                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6024,                 4.4348,                 1.3477,                0.74649,                 0.1566,                0.11966,                0.07342,                 1.3605,                 2.7518,                0.93665,             9.4262e-05,             9.4262e-05,             9.4262e-05
                      2,                 1.5403,                 2.1073,                0.97659,                0.90112,                 0.2504,                0.31886,                0.20943,                 1.2497,                  1.269,                0.92512,             0.00018209,             0.00018209,             0.00018209
                      3,                 1.2978,                 1.2674,                0.92941,                0.70595,                0.48803,                0.56596,                0.38789,                 1.1998,                0.87125,                0.91671,             0.00026236,             0.00026236,             0.00026236
                      4,                 1.2415,                 0.9891,                0.92205,                0.79393,                0.65723,                0.75128,                0.52071,                 1.1997,                0.71338,                0.91383,             0.00025202,             0.00025202,             0.00025202
                      5,                 1.2017,                 0.8656,                0.90965,                0.85465,                0.73231,                0.84967,                0.61281,                 1.1673,                 0.6313,                0.90758,              0.0002407,              0.0002407,              0.0002407
                      6,                 1.1772,                0.78811,                 0.9059,                0.83284,                0.89386,                0.94087,                0.68089,                 1.1657,                0.58333,                0.90474,             0.00022937,             0.00022937,             0.00022937
                      7,                 1.1621,                0.74822,                0.89877,                0.84849,                 0.9489,                0.95054,                0.69057,                 1.1296,                0.56841,                 0.8971,             0.00021805,             0.00021805,             0.00021805
                      8,                 1.1677,                0.72305,                 0.8973,                0.84994,                0.95812,                0.96048,                0.70407,                 1.1423,                0.57686,                0.89829,             0.00020672,             0.00020672,             0.00020672
                      9,                 1.1532,                  0.699,                0.89521,                0.87728,                 0.9385,                0.96364,                0.70695,                 1.1181,                0.53447,                0.89846,              0.0001954,              0.0001954,              0.0001954
                     10,                 1.1437,                0.67182,                0.89569,                0.90001,                0.96994,                0.96575,                0.71194,                 1.1045,                0.52761,                0.89042,             0.00018407,             0.00018407,             0.00018407
                     11,                 1.1296,                0.65774,                0.89131,                0.90359,                 0.9655,                0.96984,                0.71139,                 1.1159,                0.52316,                0.89574,             0.00017274,             0.00017274,             0.00017274
                     12,                   1.12,                0.64794,                0.88746,                0.91078,                0.92451,                0.97296,                0.72311,                 1.1172,                0.52551,                0.89154,             0.00016142,             0.00016142,             0.00016142
                     13,                 1.1328,                0.64672,                0.88577,                0.93139,                0.94175,                0.97278,                0.71507,                 1.1006,                0.52836,                 0.8917,             0.00015009,             0.00015009,             0.00015009
                     14,                 1.1093,                0.63183,                0.88883,                0.93107,                0.96046,                  0.982,                0.71957,                 1.1058,                0.50953,                0.89423,             0.00013877,             0.00013877,             0.00013877
                     15,                 1.1064,                0.62003,                 0.8841,                0.89782,                0.98442,                0.97601,                0.72249,                  1.107,                0.50817,                0.88956,             0.00012744,             0.00012744,             0.00012744
                     16,                 1.0736,                0.54758,                0.88044,                0.95491,                0.96117,                0.98581,                0.73495,                 1.1004,                0.52157,                0.88276,             0.00011612,             0.00011612,             0.00011612
                     17,                 1.0669,                0.52919,                0.87804,                0.94824,                0.96632,                0.98862,                0.73255,                 1.0781,                0.50186,                0.88149,             0.00010479,             0.00010479,             0.00010479
                     18,                 1.0594,                 0.5203,                0.87448,                0.96545,                0.97322,                 0.9891,                  0.731,                 1.0854,                0.49397,                0.88168,             9.3465e-05,             9.3465e-05,             9.3465e-05
                     19,                 1.0568,                  0.509,                0.87716,                0.96228,                0.96265,                0.99086,                0.73401,                 1.0835,                0.49091,                0.88104,             8.2139e-05,             8.2139e-05,             8.2139e-05
                     20,                 1.0477,                0.50061,                0.87504,                0.96959,                0.97706,                0.99137,                0.74482,                 1.0801,                0.48676,                0.87936,             7.0814e-05,             7.0814e-05,             7.0814e-05
                     21,                  1.048,                0.49491,                0.87712,                0.97248,                0.97795,                0.99218,                0.74715,                 1.0702,                0.48125,                0.87966,             5.9488e-05,             5.9488e-05,             5.9488e-05
                     22,                 1.0394,                0.48587,                0.87716,                0.96966,                0.97495,                0.99135,                0.73858,                 1.0732,                0.47008,                0.88109,             4.8162e-05,             4.8162e-05,             4.8162e-05
                     23,                 1.0459,                0.48478,                0.87253,                0.96604,                0.98012,                 0.9933,                 0.7441,                 1.0662,                0.46795,                0.87938,             3.6837e-05,             3.6837e-05,             3.6837e-05
                     24,                 1.0337,                0.47969,                0.87169,                0.97378,                0.98306,                0.99496,                 0.7472,                 1.0643,                0.46375,                0.87968,             2.5511e-05,             2.5511e-05,             2.5511e-05
                     25,                 1.0324,                0.47806,                0.87351,                0.97398,                0.98425,                0.99497,                0.74871,                 1.0639,                0.45841,                0.87932,             1.4186e-05,             1.4186e-05,             1.4186e-05
